type,attr_name,attr_var,attr_order,value1,prob1,value2,prob2,value3,prob3,value4,prob4,value5,prob5
4,know-each-other,cm1knowwell,7,1.0,0.22006472491909385,2.0,0.3851132686084142,3.0,0.3948220064724919,,,,
4,willing-help-each-other,cm1willnghlp,8,1.0,0.10186199342825848,2.0,0.3066812705366922,3.0,0.5914567360350493,,,,
4,can-be-trusted,cm1peoptrstd,9,1.0,0.07198228128460686,2.0,0.24141749723145073,3.0,0.6866002214839424,,,,
4,no-one-talk-to,fl1noonetalk,10,1.0,0.9539748953974896,2.0,0.04602510460251046,,,,,,
4,income,ia1totinc,11,1.0,0.16595744680851063,2.0,0.6191489361702127,3.0,0.2148936170212766,,,,
4,education,el1higstschl,12,1.0,0.06589958158995816,2.0,0.7740585774058577,3.0,0.1600418410041841,,,,
5,want-find-way-to,wb1agrwstmt2,0,1.0,0.0021645021645021645,2.0,0.07575757575757576,3.0,0.922077922077922,,,,
5,feel-cheerful,wb1offelche1,1,1.0,0.004338394793926247,2.0,0.026030368763557483,3.0,0.12147505422993492,4.0,0.5227765726681128,5.0,0.32537960954446854
5,feel-bored,wb1offelche2,2,1.0,0.36796536796536794,2.0,0.3181818181818182,3.0,0.23593073593073594,4.0,0.05411255411255411,5.0,0.023809523809523808
5,feel-full-of-life,wb1offelche3,3,1.0,0.025974025974025976,2.0,0.09090909090909091,3.0,0.17965367965367965,4.0,0.4264069264069264,5.0,0.27705627705627706
5,feel-upset,wb1offelche4,4,1.0,0.1341991341991342,2.0,0.538961038961039,3.0,0.27705627705627706,4.0,0.03463203463203463,5.0,0.015151515151515152
5,adjust-to-change,wb1agrwstmt3,5,1.0,0.07809110629067245,2.0,0.368763557483731,3.0,0.5531453362255966,,,,
5,self-determin,wb1agrwstmt1,6,1.0,0.8112798264642083,2.0,0.13882863340563992,3.0,0.049891540130151846,,,,
5,know-each-other,cm1knowwell,7,1.0,0.17067833698030635,2.0,0.4442013129102845,3.0,0.3851203501094092,,,,
5,willing-help-each-other,cm1willnghlp,8,1.0,0.0784313725490196,2.0,0.3202614379084967,3.0,0.6013071895424836,,,,
5,can-be-trusted,cm1peoptrstd,9,1.0,0.09641255605381166,2.0,0.24663677130044842,3.0,0.6569506726457399,,,,
5,no-one-talk-to,fl1noonetalk,10,1.0,0.9632829373650108,2.0,0.0367170626349892,,,,,,
5,income,ia1totinc,11,1.0,0.1067193675889328,2.0,0.5770750988142292,3.0,0.31620553359683795,,,,
5,education,el1higstschl,12,1.0,0.03463203463203463,2.0,0.7034632034632035,3.0,0.2619047619047619,,,,
6,want-find-way-to,wb1agrwstmt2,0,1.0,0.011041009463722398,2.0,0.08832807570977919,3.0,0.9006309148264984,,,,
6,feel-cheerful,wb1offelche1,1,1.0,0.007886435331230283,2.0,0.02365930599369085,3.0,0.13722397476340695,4.0,0.4605678233438486,5.0,0.37066246056782337
6,feel-bored,wb1offelche2,2,1.0,0.38170347003154576,2.0,0.35646687697160884,3.0,0.17034700315457413,4.0,0.0473186119873817,5.0,0.04416403785488959
6,feel-full-of-life,wb1offelche3,3,1.0,0.03322784810126582,2.0,0.07911392405063292,3.0,0.18037974683544303,4.0,0.3449367088607595,5.0,0.3623417721518987
6,feel-upset,wb1offelche4,4,1.0,0.27917981072555204,2.0,0.4747634069400631,3.0,0.2082018927444795,4.0,0.02050473186119874,5.0,0.017350157728706624
6,adjust-to-change,wb1agrwstmt3,5,1.0,0.0947867298578199,2.0,0.3380726698262243,3.0,0.5671406003159558,,,,
6,self-determin,wb1agrwstmt1,6,1.0,0.724960254372019,2.0,0.18600953895071543,3.0,0.0890302066772655,,,,
6,know-each-other,cm1knowwell,7,1.0,0.19101123595505617,2.0,0.42857142857142855,3.0,0.38041733547351525,,,,
6,willing-help-each-other,cm1willnghlp,8,1.0,0.07223113964686999,2.0,0.36276083467094705,3.0,0.565008025682183,,,,
6,can-be-trusted,cm1peoptrstd,9,1.0,0.06045751633986928,2.0,0.2222222222222222,3.0,0.7173202614379085,,,,
6,no-one-talk-to,fl1noonetalk,10,1.0,0.919558359621451,2.0,0.0804416403785489,,,,,,
6,income,ia1totinc,11,1.0,0.060526315789473685,2.0,0.5657894736842105,3.0,0.3736842105263158,,,,
6,education,el1higstschl,12,1.0,0.0804416403785489,2.0,0.5709779179810726,3.0,0.34858044164037855,,,,
7,want-find-way-to,wb1agrwstmt2,0,1.0,0.004555808656036446,2.0,0.07061503416856492,3.0,0.9248291571753986,,,,
7,feel-cheerful,wb1offelche1,1,1.0,0.00909090909090909,2.0,0.03409090909090909,3.0,0.1409090909090909,4.0,0.4727272727272727,5.0,0.3431818181818182
7,feel-bored,wb1offelche2,2,1.0,0.325,2.0,0.3613636363636364,3.0,0.2318181818181818,4.0,0.04318181818181818,5.0,0.038636363636363635
7,feel-full-of-life,wb1offelche3,3,1.0,0.03189066059225513,2.0,0.06378132118451026,3.0,0.17312072892938496,4.0,0.4328018223234624,5.0,0.2984054669703872
7,feel-upset,wb1offelche4,4,1.0,0.19817767653758542,2.0,0.5854214123006833,3.0,0.1662870159453303,4.0,0.04328018223234624,5.0,0.00683371298405467
7,adjust-to-change,wb1agrwstmt3,5,1.0,0.11389521640091116,2.0,0.3439635535307517,3.0,0.5421412300683371,,,,
7,self-determin,wb1agrwstmt1,6,1.0,0.7459954233409611,2.0,0.20594965675057209,3.0,0.04805491990846682,,,,
7,know-each-other,cm1knowwell,7,1.0,0.23515981735159816,2.0,0.4200913242009132,3.0,0.3447488584474886,,,,
7,willing-help-each-other,cm1willnghlp,8,1.0,0.0730593607305936,2.0,0.410958904109589,3.0,0.5159817351598174,,,,
7,can-be-trusted,cm1peoptrstd,9,1.0,0.09090909090909091,2.0,0.28205128205128205,3.0,0.627039627039627,,,,
7,no-one-talk-to,fl1noonetalk,10,1.0,0.9478458049886621,2.0,0.05215419501133787,,,,,,
7,income,ia1totinc,11,1.0,0.05555555555555555,2.0,0.42810457516339867,3.0,0.5163398692810458,,,,
7,education,el1higstschl,12,1.0,0.027210884353741496,2.0,0.5986394557823129,3.0,0.3741496598639456,,,,
8,want-find-way-to,wb1agrwstmt2,0,1.0,0.04,2.0,0.17,3.0,0.79,,,,
8,feel-cheerful,wb1offelche1,1,1.0,0.01990049751243781,2.0,0.06467661691542288,3.0,0.23880597014925373,4.0,0.42786069651741293,5.0,0.24875621890547264
8,feel-bored,wb1offelche2,2,1.0,0.30198019801980197,2.0,0.22772277227722773,3.0,0.3316831683168317,4.0,0.08415841584158416,5.0,0.054455445544554455
8,feel-full-of-life,wb1offelche3,3,1.0,0.0594059405940594,2.0,0.06930693069306931,3.0,0.2871287128712871,4.0,0.2623762376237624,5.0,0.3217821782178218
8,feel-upset,wb1offelche4,4,1.0,0.28217821782178215,2.0,0.32673267326732675,3.0,0.3217821782178218,4.0,0.04455445544554455,5.0,0.024752475247524754
8,adjust-to-change,wb1agrwstmt3,5,1.0,0.135678391959799,2.0,0.35678391959798994,3.0,0.507537688442211,,,,
8,self-determin,wb1agrwstmt1,6,1.0,0.5376884422110553,2.0,0.24623115577889448,3.0,0.21608040201005024,,,,
8,know-each-other,cm1knowwell,7,1.0,0.1971153846153846,2.0,0.35096153846153844,3.0,0.4519230769230769,,,,
8,willing-help-each-other,cm1willnghlp,8,1.0,0.14903846153846154,2.0,0.3942307692307692,3.0,0.4567307692307692,,,,
8,can-be-trusted,cm1peoptrstd,9,1.0,0.16080402010050251,2.0,0.4623115577889447,3.0,0.3768844221105528,,,,
8,no-one-talk-to,fl1noonetalk,10,1.0,0.908256880733945,2.0,0.09174311926605505,,,,,,
8,income,ia1totinc,11,1.0,0.8761904761904762,2.0,0.12380952380952381,,,,,,
8,education,el1higstschl,12,1.0,0.4117647058823529,2.0,0.5441176470588235,3.0,0.04411764705882353,,,,
9,want-find-way-to,wb1agrwstmt2,0,1.0,0.015748031496062992,2.0,0.12598425196850394,3.0,0.8582677165354331,,,,
9,feel-cheerful,wb1offelche1,1,2.0,0.10236220472440945,3.0,0.2677165354330709,4.0,0.4015748031496063,5.0,0.2283464566929134,,
9,feel-bored,wb1offelche2,2,1.0,0.25196850393700787,2.0,0.2677165354330709,3.0,0.3464566929133858,4.0,0.08661417322834646,5.0,0.047244094488188976
9,feel-full-of-life,wb1offelche3,3,1.0,0.03937007874015748,2.0,0.13385826771653545,3.0,0.2204724409448819,4.0,0.28346456692913385,5.0,0.3228346456692913
9,feel-upset,wb1offelche4,4,1.0,0.2440944881889764,2.0,0.3937007874015748,3.0,0.2992125984251969,4.0,0.03937007874015748,5.0,0.023622047244094488
9,adjust-to-change,wb1agrwstmt3,5,1.0,0.07086614173228346,2.0,0.3779527559055118,3.0,0.5511811023622047,,,,
9,self-determin,wb1agrwstmt1,6,1.0,0.5511811023622047,2.0,0.28346456692913385,3.0,0.16535433070866143,,,,
9,know-each-other,cm1knowwell,7,1.0,0.19696969696969696,2.0,0.3939393939393939,3.0,0.4090909090909091,,,,
9,willing-help-each-other,cm1willnghlp,8,1.0,0.15789473684210525,2.0,0.39097744360902253,3.0,0.45112781954887216,,,,
9,can-be-trusted,cm1peoptrstd,9,1.0,0.23622047244094488,2.0,0.4251968503937008,3.0,0.33858267716535434,,,,
9,no-one-talk-to,fl1noonetalk,10,1.0,0.9701492537313433,2.0,0.029850746268656716,,,,,,
9,income,ia1totinc,11,1.0,0.8461538461538461,2.0,0.1282051282051282,3.0,0.02564102564102564,,,,
9,education,el1higstschl,12,1.0,0.23015873015873015,2.0,0.7142857142857143,3.0,0.05555555555555555,,,,
10,want-find-way-to,wb1agrwstmt2,0,1.0,0.01282051282051282,2.0,0.19230769230769232,3.0,0.7948717948717948,,,,
10,feel-cheerful,wb1offelche1,1,1.0,0.01282051282051282,2.0,0.05128205128205128,3.0,0.2948717948717949,4.0,0.358974358974359,5.0,0.28205128205128205
10,feel-bored,wb1offelche2,2,1.0,0.41025641025641024,2.0,0.08974358974358974,3.0,0.3974358974358974,4.0,0.05128205128205128,5.0,0.05128205128205128
10,feel-full-of-life,wb1offelche3,3,1.0,0.025974025974025976,2.0,0.03896103896103896,3.0,0.35064935064935066,4.0,0.23376623376623376,5.0,0.35064935064935066
10,feel-upset,wb1offelche4,4,1.0,0.35064935064935066,2.0,0.2987012987012987,3.0,0.2727272727272727,4.0,0.05194805194805195,5.0,0.025974025974025976
10,adjust-to-change,wb1agrwstmt3,5,1.0,0.14102564102564102,2.0,0.34615384615384615,3.0,0.5128205128205128,,,,
10,self-determin,wb1agrwstmt1,6,1.0,0.5454545454545454,2.0,0.2857142857142857,3.0,0.16883116883116883,,,,
10,know-each-other,cm1knowwell,7,1.0,0.24175824175824176,2.0,0.34065934065934067,3.0,0.4175824175824176,,,,
10,willing-help-each-other,cm1willnghlp,8,1.0,0.2159090909090909,2.0,0.375,3.0,0.4090909090909091,,,,
10,can-be-trusted,cm1peoptrstd,9,1.0,0.22727272727272727,2.0,0.2840909090909091,3.0,0.48863636363636365,,,,
10,no-one-talk-to,fl1noonetalk,10,1.0,0.9340659340659341,2.0,0.06593406593406594,,,,,,
10,income,ia1totinc,11,1.0,0.6923076923076923,2.0,0.2692307692307692,3.0,0.038461538461538464,,,,
10,education,el1higstschl,12,1.0,0.5189873417721519,2.0,0.4177215189873418,3.0,0.06329113924050633,,,,
11,want-find-way-to,wb1agrwstmt2,0,2.0,0.18309859154929578,3.0,0.8169014084507042,,,,,,
11,feel-cheerful,wb1offelche1,1,1.0,0.0136986301369863,2.0,0.0547945205479452,3.0,0.2465753424657534,4.0,0.3150684931506849,5.0,0.3698630136986301
11,feel-bored,wb1offelche2,2,1.0,0.3013698630136986,2.0,0.2876712328767123,3.0,0.3424657534246575,4.0,0.0410958904109589,5.0,0.0273972602739726
11,feel-full-of-life,wb1offelche3,3,1.0,0.0410958904109589,2.0,0.0684931506849315,3.0,0.1506849315068493,4.0,0.2328767123287671,5.0,0.5068493150684932
11,feel-upset,wb1offelche4,4,1.0,0.3287671232876712,2.0,0.3835616438356164,3.0,0.2191780821917808,4.0,0.0410958904109589,5.0,0.0273972602739726
11,adjust-to-change,wb1agrwstmt3,5,1.0,0.09859154929577464,2.0,0.29577464788732394,3.0,0.6056338028169014,,,,
11,self-determin,wb1agrwstmt1,6,1.0,0.625,2.0,0.20833333333333334,3.0,0.16666666666666666,,,,
11,know-each-other,cm1knowwell,7,1.0,0.11538461538461539,2.0,0.4230769230769231,3.0,0.46153846153846156,,,,
11,willing-help-each-other,cm1willnghlp,8,1.0,0.10526315789473684,2.0,0.4342105263157895,3.0,0.4605263157894737,,,,
11,can-be-trusted,cm1peoptrstd,9,1.0,0.17105263157894737,2.0,0.34210526315789475,3.0,0.4868421052631579,,,,
11,no-one-talk-to,fl1noonetalk,10,1.0,0.8227848101265823,2.0,0.17721518987341772,,,,,,
11,income,ia1totinc,11,1.0,0.52,2.0,0.38,3.0,0.1,,,,
11,education,el1higstschl,12,1.0,0.3561643835616438,2.0,0.5342465753424658,3.0,0.1095890410958904,,,,
12,want-find-way-to,wb1agrwstmt2,0,1.0,0.010309278350515464,2.0,0.15463917525773196,3.0,0.8350515463917526,,,,
12,feel-cheerful,wb1offelche1,1,1.0,0.05102040816326531,2.0,0.04081632653061224,3.0,0.15306122448979592,4.0,0.5306122448979592,5.0,0.22448979591836735
12,feel-bored,wb1offelche2,2,1.0,0.3469387755102041,2.0,0.21428571428571427,3.0,0.2653061224489796,4.0,0.12244897959183673,5.0,0.05102040816326531
12,feel-full-of-life,wb1offelche3,3,1.0,0.08163265306122448,2.0,0.1326530612244898,3.0,0.25510204081632654,4.0,0.2857142857142857,5.0,0.24489795918367346
12,feel-upset,wb1offelche4,4,1.0,0.20408163265306123,2.0,0.41836734693877553,3.0,0.25510204081632654,4.0,0.11224489795918367,5.0,0.01020408163265306
12,adjust-to-change,wb1agrwstmt3,5,1.0,0.2,2.0,0.28421052631578947,3.0,0.5157894736842106,,,,
12,self-determin,wb1agrwstmt1,6,1.0,0.4791666666666667,2.0,0.23958333333333334,3.0,0.28125,,,,
12,know-each-other,cm1knowwell,7,1.0,0.23404255319148937,2.0,0.35106382978723405,3.0,0.4148936170212766,,,,
12,willing-help-each-other,cm1willnghlp,8,1.0,0.11956521739130435,2.0,0.2826086956521739,3.0,0.5978260869565217,,,,
12,can-be-trusted,cm1peoptrstd,9,1.0,0.19540229885057472,2.0,0.2988505747126437,3.0,0.5057471264367817,,,,
12,no-one-talk-to,fl1noonetalk,10,1.0,0.9387755102040817,2.0,0.061224489795918366,,,,,,
12,income,ia1totinc,11,1.0,0.7627118644067796,2.0,0.23728813559322035,,,,,,
12,education,el1higstschl,12,1.0,0.24489795918367346,2.0,0.7040816326530612,3.0,0.05102040816326531,,,,
13,want-find-way-to,wb1agrwstmt2,0,1.0,0.037037037037037035,2.0,0.1111111111111111,3.0,0.8518518518518519,,,,
13,feel-cheerful,wb1offelche1,1,2.0,0.01818181818181818,3.0,0.3090909090909091,4.0,0.38181818181818183,5.0,0.2909090909090909,,
13,feel-bored,wb1offelche2,2,1.0,0.2962962962962963,2.0,0.25925925925925924,3.0,0.35185185185185186,4.0,0.05555555555555555,5.0,0.037037037037037035
13,feel-full-of-life,wb1offelche3,3,1.0,0.03773584905660377,2.0,0.1320754716981132,3.0,0.20754716981132076,4.0,0.41509433962264153,5.0,0.20754716981132076
13,feel-upset,wb1offelche4,4,1.0,0.2037037037037037,2.0,0.35185185185185186,3.0,0.35185185185185186,4.0,0.037037037037037035,5.0,0.05555555555555555
13,adjust-to-change,wb1agrwstmt3,5,1.0,0.2222222222222222,2.0,0.2777777777777778,3.0,0.5,,,,
13,self-determin,wb1agrwstmt1,6,1.0,0.6481481481481481,2.0,0.2222222222222222,3.0,0.12962962962962962,,,,
13,know-each-other,cm1knowwell,7,1.0,0.17307692307692307,2.0,0.38461538461538464,3.0,0.4423076923076923,,,,
13,willing-help-each-other,cm1willnghlp,8,1.0,0.05555555555555555,2.0,0.46296296296296297,3.0,0.48148148148148145,,,,
13,can-be-trusted,cm1peoptrstd,9,1.0,0.1568627450980392,2.0,0.29411764705882354,3.0,0.5490196078431373,,,,
13,no-one-talk-to,fl1noonetalk,10,1.0,0.9818181818181818,2.0,0.01818181818181818,,,,,,
13,income,ia1totinc,11,1.0,0.6944444444444444,2.0,0.2777777777777778,3.0,0.027777777777777776,,,,
13,education,el1higstschl,12,1.0,0.1111111111111111,2.0,0.8333333333333334,3.0,0.05555555555555555,,,,
14,want-find-way-to,wb1agrwstmt2,0,1.0,0.02631578947368421,2.0,0.21052631578947367,3.0,0.7631578947368421,,,,
14,feel-cheerful,wb1offelche1,1,1.0,0.02564102564102564,2.0,0.05128205128205128,3.0,0.1282051282051282,4.0,0.48717948717948717,5.0,0.3076923076923077
14,feel-bored,wb1offelche2,2,1.0,0.25,2.0,0.35,3.0,0.25,4.0,0.05,5.0,0.1
14,feel-full-of-life,wb1offelche3,3,1.0,0.1,2.0,0.1,3.0,0.175,4.0,0.275,5.0,0.35
14,feel-upset,wb1offelche4,4,1.0,0.20512820512820512,2.0,0.41025641025641024,3.0,0.3076923076923077,4.0,0.02564102564102564,5.0,0.05128205128205128
14,adjust-to-change,wb1agrwstmt3,5,1.0,0.10526315789473684,2.0,0.3684210526315789,3.0,0.5263157894736842,,,,
14,self-determin,wb1agrwstmt1,6,1.0,0.6052631578947368,2.0,0.2894736842105263,3.0,0.10526315789473684,,,,
14,know-each-other,cm1knowwell,7,1.0,0.07317073170731707,2.0,0.36585365853658536,3.0,0.5609756097560976,,,,
14,willing-help-each-other,cm1willnghlp,8,1.0,0.175,2.0,0.225,3.0,0.6,,,,
14,can-be-trusted,cm1peoptrstd,9,1.0,0.1282051282051282,2.0,0.38461538461538464,3.0,0.48717948717948717,,,,
14,no-one-talk-to,fl1noonetalk,10,1.0,0.8536585365853658,2.0,0.14634146341463414,,,,,,
14,income,ia1totinc,11,1.0,0.5217391304347826,2.0,0.43478260869565216,3.0,0.043478260869565216,,,,
14,education,el1higstschl,12,1.0,0.2926829268292683,2.0,0.5365853658536586,3.0,0.17073170731707318,,,,
15,want-find-way-to,wb1agrwstmt2,0,2.0,0.034482758620689655,3.0,0.9655172413793104,,,,,,
15,feel-cheerful,wb1offelche1,1,2.0,0.034482758620689655,3.0,0.1724137931034483,4.0,0.4827586206896552,5.0,0.3103448275862069,,
15,feel-bored,wb1offelche2,2,1.0,0.35714285714285715,2.0,0.2857142857142857,3.0,0.25,4.0,0.07142857142857142,5.0,0.03571428571428571
15,feel-full-of-life,wb1offelche3,3,1.0,0.06896551724137931,2.0,0.06896551724137931,3.0,0.1724137931034483,4.0,0.27586206896551724,5.0,0.41379310344827586
15,feel-upset,wb1offelche4,4,1.0,0.27586206896551724,2.0,0.41379310344827586,3.0,0.10344827586206896,4.0,0.13793103448275862,5.0,0.06896551724137931
15,adjust-to-change,wb1agrwstmt3,5,1.0,0.13793103448275862,2.0,0.27586206896551724,3.0,0.5862068965517241,,,,
15,self-determin,wb1agrwstmt1,6,1.0,0.6206896551724138,2.0,0.27586206896551724,3.0,0.10344827586206896,,,,
15,know-each-other,cm1knowwell,7,1.0,0.2222222222222222,2.0,0.37037037037037035,3.0,0.4074074074074074,,,,
15,willing-help-each-other,cm1willnghlp,8,1.0,0.07142857142857142,2.0,0.42857142857142855,3.0,0.5,,,,
